,doc,word,special_char,usecase_part,usecase_pro,usecase_con
0,001_sd.pdf,sicherheitsdatenblatt,0,,,
1,001_sd.pdf,gemäß,0,,,
2,001_sd.pdf,eu-verordnung,0,,,
3,001_sd.pdf,2015/830,0,,,
4,001_sd.pdf,seite,0,,,
5,001_sd.pdf,1,0,,,
6,001_sd.pdf,von,0,,,
7,001_sd.pdf,6,0,,,
8,001_sd.pdf,ausstellungsdatum,0,,,
9,001_sd.pdf,:,1,,,
10,001_sd.pdf,10.11.2017,0,,,
11,001_sd.pdf,ersatz,0,,,
12,001_sd.pdf,für,0,,,
13,001_sd.pdf,das,0,,,
14,001_sd.pdf,datenblatt,0,,,
15,001_sd.pdf,von,0,,,
16,001_sd.pdf,:,1,,,
17,001_sd.pdf,20.11.2015,0,,,
18,001_sd.pdf,"""*""",0,,,
19,001_sd.pdf,änderungen,0,,,
20,001_sd.pdf,gegenüber,0,,,
21,001_sd.pdf,vorläufer,0,,,
22,001_sd.pdf,",",1,,,
23,001_sd.pdf,n.a,0,,,
24,001_sd.pdf,.,1,,,
25,001_sd.pdf,=,0,,,
26,001_sd.pdf,nicht,0,,,
27,001_sd.pdf,anwendbar,0,,,
28,001_sd.pdf,",",1,,,
29,001_sd.pdf,n.v,0,,,
30,001_sd.pdf,.,1,,,
31,001_sd.pdf,=,0,,,
32,001_sd.pdf,nicht,0,,,
33,001_sd.pdf,verfügbar,0,,,
34,001_sd.pdf,abschnitt,0,,,
35,001_sd.pdf,1,0,,,
36,001_sd.pdf,:,1,,,
37,001_sd.pdf,bezeichnung,0,,,
38,001_sd.pdf,des,0,,,
39,001_sd.pdf,stoffs,0,,,
40,001_sd.pdf,bzw,0,,,
41,001_sd.pdf,.,1,,,
42,001_sd.pdf,des,0,,,
43,001_sd.pdf,gemischs,0,,,
44,001_sd.pdf,und,0,,,
45,001_sd.pdf,des,0,,,
46,001_sd.pdf,unternehmens,0,,,
47,001_sd.pdf,1.1,0,,,
48,001_sd.pdf,produktidentifikator,0,,,
49,001_sd.pdf,handelsname,0,,,
50,001_sd.pdf,:,1,,,
51,001_sd.pdf,premium,0,,,
52,001_sd.pdf,koistabil,0,,,
53,001_sd.pdf,artikel,0,,,
54,001_sd.pdf,-,0,,,
55,001_sd.pdf,nr,0,,,
56,001_sd.pdf,.,1,,,
57,001_sd.pdf,:,1,,,
58,001_sd.pdf,n.v,0,,,
59,001_sd.pdf,.,1,,,
60,001_sd.pdf,rezeptur,0,,,
61,001_sd.pdf,-,0,,,
62,001_sd.pdf,nr,0,,,
63,001_sd.pdf,.,1,,,
64,001_sd.pdf,:,1,,,
65,001_sd.pdf,n.v,0,,,
66,001_sd.pdf,.,1,,,
67,001_sd.pdf,registriernummer,0,,,
68,001_sd.pdf,:,1,,,
69,001_sd.pdf,n.a,0,,,
70,001_sd.pdf,.,1,,,
71,001_sd.pdf,1.2,0,,,
72,001_sd.pdf,relevante,0,,,
73,001_sd.pdf,identifizierte,0,,,
74,001_sd.pdf,verwendungen,0,,,
75,001_sd.pdf,des,0,,,
76,001_sd.pdf,stoffs,0,,,
77,001_sd.pdf,oder,0,,,
78,001_sd.pdf,gemischs,0,,,
79,001_sd.pdf,und,0,,,
80,001_sd.pdf,verwendungen,0,,,
81,001_sd.pdf,",",1,,,
82,001_sd.pdf,von,0,,,
83,001_sd.pdf,denen,0,,,
84,001_sd.pdf,abgeraten,0,,,
85,001_sd.pdf,wird,0,,,
86,001_sd.pdf,identifizierte,0,,,
87,001_sd.pdf,verwendungen,0,,,
88,001_sd.pdf,:,1,,,
89,001_sd.pdf,gartenteichbedarf,0, identifizierte verwendungen gartenteichbedarf,1.0,
90,001_sd.pdf,1.3,0,,,
91,001_sd.pdf,einzelheiten,0,,,
92,001_sd.pdf,zum,0,,,
93,001_sd.pdf,lieferanten,0,,,
94,001_sd.pdf,",",1,,,
95,001_sd.pdf,der,0,,,
96,001_sd.pdf,das,0,,,
97,001_sd.pdf,sicherheitsdatenblatt,0,,,
98,001_sd.pdf,bereitstellt,0,,,
99,001_sd.pdf,1.3.1,0,,,
100,001_sd.pdf,anschrift,0,,,
101,001_sd.pdf,des,0,,,
102,001_sd.pdf,herstellers,0,,,
103,001_sd.pdf,/,1,,,
104,001_sd.pdf,lieferanten,0,,,
105,001_sd.pdf,:,1,,,
106,001_sd.pdf,söll,0,,,
107,001_sd.pdf,gmbh,0,,,
108,001_sd.pdf,",",1,,,
109,001_sd.pdf,fuhrmannstr,0,,,
110,001_sd.pdf,.,1,,,
111,001_sd.pdf,"6,",0,,,
112,001_sd.pdf,d-,0,,,
113,001_sd.pdf,95030,0,,,
114,001_sd.pdf,hof,0,,,
115,001_sd.pdf,telefon,0,,,
116,001_sd.pdf,:,1,,,
117,001_sd.pdf,+49,0,,,
118,001_sd.pdf,-,0,,,
119,001_sd.pdf,9281-72850,0,,,
120,001_sd.pdf,",",1,,,
121,001_sd.pdf,telefax,0,,,
122,001_sd.pdf,:,1,,,
123,001_sd.pdf,+49,0,,,
124,001_sd.pdf,–,0,,,
125,001_sd.pdf,9281-1011,0,,,
126,001_sd.pdf,",",1,,,
127,001_sd.pdf,e-mail,0,,,
128,001_sd.pdf,:,1,,,
129,001_sd.pdf,info@soelltec,0,,,
130,001_sd.pdf,.,1,,,
131,001_sd.pdf,de,0,,,
132,001_sd.pdf,1.3.2,0,,,
133,001_sd.pdf,verantwortlich,0,,,
134,001_sd.pdf,für,0,,,
135,001_sd.pdf,das,0,,,
136,001_sd.pdf,datenblatt,0,,,
137,001_sd.pdf,:,1,,,
138,001_sd.pdf,cosichem,0,,,
139,001_sd.pdf,ag,0,,,
140,001_sd.pdf,",",1,,,
141,001_sd.pdf,ernst-lemmer-straße,0,,,
142,001_sd.pdf,"23,",0,,,
143,001_sd.pdf,d,0,,,
144,001_sd.pdf,-,0,,,
145,001_sd.pdf,35041,0,,,
146,001_sd.pdf,marburg,0,,,
147,001_sd.pdf,",",1,,,
