,doc,Page,Ycord_first,Xcord_first,font_size,font_name,Object,Textbox,word,special_char,ycord_average,word_low,chapter,subchapter,date_nr,date_string,date,date_stopword,version,directive,signal,usecase_part,usecase,chem,chapter 3.2,company_name,company,label
0,001_sd.pdf,1,767.446,58.3,14,BAAAAA+Arial-BoldMT,2,1,Sicherheitsdatenblatt,0,767.868,sicherheitsdatenblatt,,,,,,,,,,,,,,,,
1,001_sd.pdf,1,767.446,204.74,14,BAAAAA+Arial-BoldMT,2,1,gemäß,0,767.868,gemäß,,,,,,,,,,,,,,,,
2,001_sd.pdf,1,767.446,253.68400000000003,14,BAAAAA+Arial-BoldMT,2,1,EU-Verordnung,0,767.868,eu-verordnung,,,,,,,,,,,,,,,,
3,001_sd.pdf,1,767.446,360.28000000000014,14,BAAAAA+Arial-BoldMT,2,1,2015/830,0,767.868,2015/830,,,,,,,,directive,,,,,,,,directive
4,001_sd.pdf,1,768.29,479.5,10,CAAAAA+ArialMT,1,1,Seite,0,767.868,seite,,,,,,,,,,,,,,,,
5,001_sd.pdf,1,768.29,504.8,10,CAAAAA+ArialMT,1,1,1,0,767.868,1,,,,,,,,,,,,,,,,
6,001_sd.pdf,1,768.29,513.09,10,CAAAAA+ArialMT,1,1,von,0,767.868,von,,,,,,,,,,,,,,,,
7,001_sd.pdf,1,768.29,531.8,10,CAAAAA+ArialMT,1,1,6,0,767.868,6,,,,,,,,,,,,,,,,
8,001_sd.pdf,1,748.0010000000001,64.4,9,CAAAAA+ArialMT,2,2,Ausstellungsdatum,0,748.0010000000001,ausstellungsdatum,,,,,,printdate,,,,,,,,,,
9,001_sd.pdf,1,748.0010000000001,140.94500000000005,9,CAAAAA+ArialMT,2,2,:,1,748.0010000000001,:,,,,,,,,,,,,,,,,
10,001_sd.pdf,1,748.0010000000001,146.03000000000003,9,CAAAAA+ArialMT,2,2,10.11.2017,0,748.0010000000001,10.11.2017,,,2017-11-10,seite 1 von 6 ausstellungsdatum ,printdate,,,,,,,,,,,printdate
11,001_sd.pdf,1,748.0010000000001,193.22600000000008,9,CAAAAA+ArialMT,2,2,Ersatz,0,748.0010000000001,ersatz,,,,,,oldversiondate,,,,,,,,,,
12,001_sd.pdf,1,748.0010000000001,221.20700000000005,9,CAAAAA+ArialMT,2,2,für,0,748.0010000000001,für,,,,,,,,,,,,,,,,
13,001_sd.pdf,1,748.0010000000001,234.29300000000003,9,CAAAAA+ArialMT,2,2,das,0,748.0010000000001,das,,,,,,,,,,,,,,,,
14,001_sd.pdf,1,748.0010000000001,251.474,9,CAAAAA+ArialMT,2,2,Datenblatt,0,748.0010000000001,datenblatt,,,,,,,,,,,,,,,,
15,001_sd.pdf,1,748.0010000000001,295.24099999999993,9,CAAAAA+ArialMT,2,2,von,0,748.0010000000001,von,,,,,,,,,,,,,,,,
16,001_sd.pdf,1,748.0010000000001,309.7489999999999,9,CAAAAA+ArialMT,2,2,:,1,748.0010000000001,:,,,,,,,,,,,,,,,,
17,001_sd.pdf,1,748.0010000000001,314.7349999999999,9,CAAAAA+ArialMT,2,2,20.11.2015,0,748.0010000000001,20.11.2015,,,2015-11-20,ersatz für das datenblatt von ,oldversiondate,,,,,,,,,,,oldversiondate
18,001_sd.pdf,1,737.801,64.4,9,CAAAAA+ArialMT,2,3,"""*""",1,737.801,"""*""",,,,,,,,,,,,,,,,
19,001_sd.pdf,1,737.801,76.88300000000002,9,CAAAAA+ArialMT,2,3,Änderungen,0,737.801,änderungen,,,,,,,,,,,,,,,,
20,001_sd.pdf,1,737.801,128.66899999999998,9,CAAAAA+ArialMT,2,3,gegenüber,0,737.801,gegenüber,,,,,,,,,,,,,,,,
21,001_sd.pdf,1,737.801,174.46100000000007,9,CAAAAA+ArialMT,2,3,Vorläufer,0,737.801,vorläufer,,,,,,,,,,,,,,,,
22,001_sd.pdf,1,737.801,210.23600000000005,9,CAAAAA+ArialMT,2,3,",",1,737.801,",",,,,,,,,,,,,,,,,
23,001_sd.pdf,1,737.801,215.22200000000004,9,CAAAAA+ArialMT,2,3,n.a,0,737.801,n.a,,,,,,,,,,,,,,,,
24,001_sd.pdf,1,737.801,227.822,9,CAAAAA+ArialMT,2,3,.,1,737.801,.,,,,,,,,,,,,,,,,
25,001_sd.pdf,1,737.801,232.907,9,CAAAAA+ArialMT,2,3,=,1,737.801,=,,,,,,,,,,,,,,,,
26,001_sd.pdf,1,737.801,240.69199999999995,9,CAAAAA+ArialMT,2,3,nicht,0,737.801,nicht,,,,,,,,,,,,,,,,
27,001_sd.pdf,1,737.801,262.37299999999993,9,CAAAAA+ArialMT,2,3,anwendbar,0,737.801,anwendbar,,,,,,,,,,,,,,,,
28,001_sd.pdf,1,737.801,306.4729999999998,9,CAAAAA+ArialMT,2,3,",",1,737.801,",",,,,,,,,,,,,,,,,
29,001_sd.pdf,1,737.801,311.5579999999998,9,CAAAAA+ArialMT,2,3,n.v,0,737.801,n.v,,,,,,,,,,,,,,,,
30,001_sd.pdf,1,737.801,322.8529999999998,9,CAAAAA+ArialMT,2,3,.,1,737.801,.,,,,,,,,,,,,,,,,
31,001_sd.pdf,1,737.801,327.8389999999998,9,CAAAAA+ArialMT,2,3,=,1,737.801,=,,,,,,,,,,,,,,,,
32,001_sd.pdf,1,737.801,335.6239999999998,9,CAAAAA+ArialMT,2,3,nicht,0,737.801,nicht,,,,,,,,,,,,,,,,
33,001_sd.pdf,1,737.801,357.2959999999998,9,CAAAAA+ArialMT,2,3,verfügbar,0,737.801,verfügbar,,,,,,,,,,,,,,,,
34,001_sd.pdf,1,718.99,59.3,10,BAAAAA+Arial-BoldMT,2,4,ABSCHNITT,0,718.99,abschnitt,chapter,,,,,,,,,,,,,,,chapter
35,001_sd.pdf,1,718.99,119.55,10,BAAAAA+Arial-BoldMT,2,4,1,0,718.99,1,chapter,,,,,,,,,,,,,,,chapter
36,001_sd.pdf,1,718.99,125.05,10,BAAAAA+Arial-BoldMT,2,4,:,1,718.99,:,chapter,,,,,,,,,,,,,,,chapter
37,001_sd.pdf,1,718.99,131.14,10,BAAAAA+Arial-BoldMT,2,4,Bezeichnung,0,718.99,bezeichnung,chapter,,,,,,,,,,,,,,,chapter
38,001_sd.pdf,1,718.99,196.0,10,BAAAAA+Arial-BoldMT,2,4,des,0,718.99,des,chapter,,,,,,,,,,,,,,,chapter
39,001_sd.pdf,1,718.99,215.89000000000004,10,BAAAAA+Arial-BoldMT,2,4,Stoffs,0,718.99,stoffs,chapter,,,,,,,,,,,,,,,chapter
40,001_sd.pdf,1,718.99,246.96000000000006,10,BAAAAA+Arial-BoldMT,2,4,bzw,0,718.99,bzw,chapter,,,,,,,,,,,,,,,chapter
41,001_sd.pdf,1,718.99,265.6600000000001,10,BAAAAA+Arial-BoldMT,2,4,.,1,718.99,.,chapter,,,,,,,,,,,,,,,chapter
42,001_sd.pdf,1,718.99,271.24000000000007,10,BAAAAA+Arial-BoldMT,2,4,des,0,718.99,des,chapter,,,,,,,,,,,,,,,chapter
43,001_sd.pdf,1,718.99,291.1200000000002,10,BAAAAA+Arial-BoldMT,2,4,Gemischs,0,718.99,gemischs,chapter,,,,,,,,,,,,,,,chapter
44,001_sd.pdf,1,718.99,341.48000000000013,10,BAAAAA+Arial-BoldMT,2,4,und,0,718.99,und,chapter,,,,,,,,,,,,,,,chapter
45,001_sd.pdf,1,718.99,362.57000000000016,10,BAAAAA+Arial-BoldMT,2,4,des,0,718.99,des,chapter,,,,,,,,,,,,,,,chapter
46,001_sd.pdf,1,718.99,382.46000000000015,10,BAAAAA+Arial-BoldMT,2,4,Unternehmens,0,718.99,unternehmens,chapter,,,,,,,,,,,,,,,chapter
47,001_sd.pdf,1,707.6010000000001,58.3,9,CAAAAA+ArialMT,2,5,1.1,0,707.451,1.1,,subchapter,,,,,,,,,,,,,,subchapter
48,001_sd.pdf,1,707.301,95.0,9,BAAAAA+Arial-BoldMT,4,1,Produktidentifikator,0,707.451,produktidentifikator,,subchapter,,,,,,,,,,,,,,subchapter
49,001_sd.pdf,1,696.5010000000001,95.0,9,BAAAAA+Arial-BoldMT,4,2,Handelsname,0,696.5010000000001,handelsname,,,,,,,,,,,,,,,,
50,001_sd.pdf,1,696.5010000000001,153.671,9,BAAAAA+Arial-BoldMT,4,2,:,1,696.5010000000001,:,,,,,,,,,,,,,,,,
51,001_sd.pdf,1,696.5010000000001,254.2,9,BAAAAA+Arial-BoldMT,3,1,Premium,0,696.5010000000001,premium,,,,,,,,,,,,,,,,
52,001_sd.pdf,1,696.5010000000001,295.357,9,BAAAAA+Arial-BoldMT,3,1,KoiStabil,0,696.5010000000001,koistabil,,,,,,,,,,,,,,,,
53,001_sd.pdf,1,685.701,95.0,9,BAAAAA+Arial-BoldMT,4,3,Artikel,0,685.7867142857143,artikel,,,,,,,,,,,,,,,,
54,001_sd.pdf,1,685.701,125.47399999999999,9,BAAAAA+Arial-BoldMT,4,3,-,1,685.7867142857143,-,,,,,,,,,,,,,,,,
